date,dewpoint_c,event_name,precip_1hr_mm,precip_6hr_mm,precip_mm,pressure_hpa,sky_cover_oktas,source,station_id,temp_c,timestamp,tmax_c,tmin_c,wind_avg_mps,wind_dir_deg,wind_gust_mps,wind_speed_mps
,25.6,Ts Imelda 2019,-0.1,,,1009.7,,,USW00012960,27.8,2019-09-19T11:00:00,,,,210,,3.1
,25.6,Ts Imelda 2019,-0.1,-0.1,,1009.5,8,,USW00012960,27.8,2019-09-19T12:00:00,,,,230,,4.1
,25.6,Ts Imelda 2019,-0.1,,,1010.0,,,USW00012960,27.8,2019-09-19T13:00:00,,,,230,,3.1
,25.0,Ts Imelda 2019,1.3,,,1010.8,,,USW00012960,26.7,2019-09-19T14:00:00,,,,,,2.1
,23.0,Ts Imelda 2019,98.0,,,1013.0,,,USW00012960,24.0,2019-09-19T15:00:00,,,,60,,8.2
,23.0,Ts Imelda 2019,68.3,,,1013.5,,,USW00012960,24.0,2019-09-19T16:00:00,,,,200,,3.1
,22.2,Ts Imelda 2019,19.6,,,1013.7,,,USW00012960,23.3,2019-09-19T17:00:00,,,,280,,2.1
,21.7,Ts Imelda 2019,18.5,203.0,,1013.3,8,,USW00012960,23.3,2019-09-19T18:00:00,,,,0,,0.0
,22.2,Ts Imelda 2019,16.5,,,1013.6,,,USW00012960,23.3,2019-09-19T19:00:00,,,,160,,6.2
,22.2,Ts Imelda 2019,8.6,,,1012.9,,,USW00012960,23.9,2019-09-19T20:00:00,,,,140,,5.7
,22.2,Ts Imelda 2019,2.3,,,1012.1,,,USW00012960,23.3,2019-09-19T21:00:00,,,,140,,6.2
,22.2,Ts Imelda 2019,0.5,,,1011.9,,,USW00012960,23.3,2019-09-19T22:00:00,,,,160,,7.2
,22.2,Ts Imelda 2019,-0.1,,,1011.6,,,USW00012960,23.9,2019-09-19T23:00:00,,,,140,,6.2
,22.2,Ts Imelda 2019,-0.1,31.0,,1012.4,8,,USW00012960,23.9,2019-09-20T00:00:00,,,,140,,4.6
,22.2,Ts Imelda 2019,0.0,,,1012.1,,,USW00012960,23.9,2019-09-20T01:00:00,,,,120,,2.6
,22.8,Ts Imelda 2019,0.0,,,1012.4,,,USW00012960,23.9,2019-09-20T02:00:00,,,,120,,3.1
,23.3,Ts Imelda 2019,0.3,,,1012.8,,,USW00012960,24.4,2019-09-20T03:00:00,,,,130,,3.1
,23.3,Ts Imelda 2019,0.0,,,1013.2,,,USW00012960,25.0,2019-09-20T04:00:00,,,,140,,2.6
,23.9,Ts Imelda 2019,0.0,,,1013.4,,,USW00012960,25.6,2019-09-20T05:00:00,,,,150,,2.1
,23.9,Ts Imelda 2019,0.0,0.3,,1013.4,6,,USW00012960,26.1,2019-09-20T06:00:00,,,,150,,2.6
,24.4,Ts Imelda 2019,0.0,,,1013.7,,,USW00012960,26.1,2019-09-20T07:00:00,,,,150,,2.1
,24.4,Ts Imelda 2019,0.0,,,1013.6,,,USW00012960,26.7,2019-09-20T08:00:00,,,,140,,2.1
,25.0,Ts Imelda 2019,0.0,,,1013.5,,,USW00012960,26.1,2019-09-20T09:00:00,,,,140,,1.5
,24.4,Ts Imelda 2019,0.0,,,1013.7,,,USW00012960,25.6,2019-09-20T10:00:00,,,,120,,2.6
,24.4,Ts Imelda 2019,0.0,,,1014.2,,,USW00012960,25.6,2019-09-20T11:00:00,,,,110,,2.1
,25.0,Ts Imelda 2019,0.0,,,1014.5,6,,USW00012960,26.1,2019-09-20T12:00:00,,,,110,,2.1
,25.0,Ts Imelda 2019,0.0,,,1015.0,,,USW00012960,26.1,2019-09-20T13:00:00,,,,130,,2.1
,25.6,Ts Imelda 2019,0.0,,,1015.5,,,USW00012960,28.3,2019-09-20T14:00:00,,,,140,,4.1
,25.0,Ts Imelda 2019,0.0,,,1015.8,,,USW00012960,30.0,2019-09-20T15:00:00,,,,150,,5.7
,24.4,Ts Imelda 2019,0.0,,,1016.1,,,USW00012960,30.6,2019-09-20T16:00:00,,,,180,,4.1
,23.3,Ts Imelda 2019,1.0,,,1016.9,,,USW00012960,26.1,2019-09-20T17:00:00,,,,240,,2.6
,23.3,Ts Imelda 2019,0.3,1.0,,1016.6,8,,USW00012960,26.1,2019-09-20T18:00:00,,,,110,,4.6
,22.2,Ts Imelda 2019,-0.1,,,1016.7,,,USW00012960,26.1,2019-09-20T19:00:00,,,,170,,5.1
,23.3,Ts Imelda 2019,0.0,,,1015.3,,,USW00012960,28.9,2019-09-20T20:00:00,,,,120,,4.1
,24.4,Ts Imelda 2019,0.0,,,1015.2,,,USW00012960,30.0,2019-09-20T21:00:00,,,,130,,7.2
,21.7,Ts Imelda 2019,-0.1,,,,,,USW00012960,25.6,2019-09-20T22:00:00,,,,,,3.1
,23.3,Ts Imelda 2019,16.8,,,1015.5,,,USW00012960,26.1,2019-09-20T23:00:00,,,,110,,6.2
,23.3,Ts Imelda 2019,0.8,21.0,,1015.7,6,,USW00012960,26.1,2019-09-21T00:00:00,,,,110,,5.1
,22.8,Ts Imelda 2019,0.0,,,1016.1,,,USW00012960,26.1,2019-09-21T01:00:00,,,,0,,0.0
,23.3,Ts Imelda 2019,0.0,,,1016.3,,,USW00012960,25.6,2019-09-21T02:00:00,,,,110,,3.6
